Country Name,Country Code,62-67,67-72,72-77,77-82,82-87,87-92,92-97,97-02,02-07,07-12,12-17
Middle East & North Africa (excluding high income),MNA,-373406.0,-597892.0,386267.0,2275015.0,-825809.0,-698693.0,-937271.0,-76884.0,-585063.0,-1571194.0,606690.0
Montenegro,MNE,-51772.0,51772.0,-5400.0,5400.0,-27964.0,9716.0,-1339.0,13589.0,7316.0,-2429.0,712.0
Mongolia,MNG,0.0,0.0,0.0,0.0,0.0,-88432.0,35969.0,37462.0,4003.0,6736.0,0.0
Mozambique,MOZ,0.0,0.0,110873.0,-463751.0,-959682.0,1978428.0,-692368.0,80004.0,-70004.0,15000.0,0.0
Mauritania,MRT,-940.0,-3190.0,-3750.0,-6400.0,-23898.0,-4624.0,619.0,33999.0,20005.0,15001.0,0.0
Mauritius,MUS,1713.0,8693.0,-154.0,-1015.0,-14345.0,30366.0,-3247.0,-10514.0,7293.0,0.0,12079.0
Malawi,MWI,0.0,-15002.0,29001.0,-13999.0,877076.0,-1738969.0,802730.0,0.0,0.0,-21100.0,0.0
Malaysia,MYS,-80678.0,3976.0,129860.0,-71842.0,502740.0,-133101.0,224335.0,154784.0,90405.0,-511879.0,0.0
North America,NAC,152752.0,1480279.0,544064.0,-435115.0,469671.0,928239.0,4489180.0,-3256583.0,368281.0,-552055.0,-218944.0
Namibia,NAM,-1078.0,-1618.0,-41602.0,15229.0,67175.0,-55386.0,-3894.0,20233.0,9654.0,-45747.0,13004.0
New Caledonia,NCL,-1941.0,6784.0,-8160.0,-3322.0,2804.0,6816.0,747.0,-3075.0,-2295.0,1298.0,-493.0
Niger,NER,0.0,-2218.0,-4375.0,-74808.0,15029.0,75238.0,-7265.0,447.0,-10504.0,38912.0,1090.0
Nigeria,NGA,-44368.0,4821.0,859239.0,-1497776.0,585656.0,-4362.0,742.0,-74973.0,-130000.0,0.0,0.0
Nicaragua,NIC,-4990.0,-18970.0,-20050.0,-51990.0,-40010.0,29990.0,-24980.0,-28990.0,19000.0,19990.0,28660.0
Netherlands,NLD,43047.0,132109.0,-40941.0,-74279.0,68223.0,46661.0,-7856.0,-32533.0,-80307.0,-3026.0,17313.0
Norway,NOR,6452.0,11692.0,4858.0,4077.0,13910.0,8188.0,11870.0,8627.0,96033.0,58381.0,-81814.0
Nepal,NPL,48925.0,15276.0,-35203.0,-60145.0,-115260.0,292471.0,-540767.0,-307822.0,-199055.0,-1068659.0,2248788.0
New Zealand,NZL,-57015.0,79302.0,-151472.0,71886.0,-6510.0,127434.0,-75432.0,92045.0,-72216.0,28482.0,-16492.0
OECD members,OED,-249080.0,2476381.0,-1066159.0,-927342.0,1727853.0,3825791.0,2362330.0,2726792.0,1373360.0,-22781.0,1418519.0
Oman,OMN,5000.0,30470.0,50939.0,5091.0,-70331.0,93531.0,-298072.0,208372.0,252000.0,618782.0,-448782.0
Other small states,OSS,49296.0,4019.0,7782.0,83665.0,132937.0,-433487.0,200551.0,257434.0,961236.0,-544281.0,-163219.0
Pakistan,PAK,-116710.0,71872.0,810309.0,714915.0,-1247328.0,-1163177.0,1494296.0,-1121091.0,310377.0,-739362.0,-87728.0
Panama,PAN,-764.0,404.0,-1789.0,1373.0,3309.0,11349.0,7843.0,6322.0,6125.0,5861.0,27895.0
Peru,PER,-19600.0,-33700.0,-11500.0,-81400.0,-105100.0,-74000.0,98800.0,-653982.0,-292976.0,577949.0,1120154.0
Philippines,PHL,-252367.0,95340.0,-101471.0,184117.0,-22232.0,-384201.0,-250469.0,-295010.0,-303721.0,713458.0,498861.0
Papua New Guinea,PNG,3616.0,-15895.0,-2227.0,19350.0,-5981.0,-25839.0,-4965.0,-58336.0,122995.0,-42577.0,0.0
Poland,POL,-80570.0,-27789.0,64308.0,-12598.0,-185780.0,144974.0,74800.0,-98272.0,5015.0,-142350.0,173830.0
Pre-demographic dividend,PRE,-34460.0,-136116.0,1376418.0,-6333901.0,1336455.0,5972579.0,-5388918.0,2755655.0,-4055035.0,3169239.0,-587190.0
Puerto Rico,PRI,-42668.0,93224.0,21452.0,-28841.0,-6772.0,54896.0,-30154.0,-115254.0,7661.0,-104658.0,-247231.0
"Korea, Dem. People's Rep.",PRK,0.0,0.0,0.0,0.0,0.0,0.0,-13932.0,-3258.0,-7491.0,-2332.0,0.0
Portugal,PRT,-151836.0,805352.0,90442.0,-265523.0,-80979.0,296995.0,24482.0,4749.0,-86220.0,-232133.0,109999.0
Paraguay,PRY,4760.0,7060.0,12550.0,25250.0,3970.0,-13840.0,-12910.0,-3060.0,-70750.0,30770.0,4350.0
West Bank and Gaza,PSE,-204195.0,249586.0,-51442.0,22244.0,22108.0,74350.0,34993.0,-259999.0,86331.0,-53395.0,104249.0
Pacific island small states,PSS,-19145.0,-20788.0,-9106.0,361.0,-58258.0,39486.0,-20019.0,-14788.0,30674.0,-13825.0,27050.0
Post-demographic dividend,PST,304431.0,2553481.0,-386505.0,-854808.0,2074353.0,2638619.0,2976553.0,2819134.0,496405.0,-1879353.0,-540124.0
French Polynesia,PYF,154.0,1657.0,-327.0,-1024.0,-4009.0,-3065.0,6907.0,-3406.0,-9096.0,1003.0,3016.0
Qatar,QAT,4668.0,13307.0,-5981.0,73710.0,-44580.0,-67649.0,39638.0,184410.0,700686.0,-309750.0,-404852.0
Romania,ROU,0.0,0.0,-97998.0,-100001.0,0.0,-320001.0,-60777.0,112574.0,-306447.0,474650.0,-69996.0
Russian Federation,RUS,838122.0,252861.0,911255.0,486165.0,-210306.0,1599868.0,-115464.0,-596556.0,548571.0,-526072.0,-888321.0
Rwanda,RWA,160001.0,-40000.0,0.0,-30002.0,80001.0,-1404269.0,2619236.0,-1317567.0,-7166.0,-28327.0,63096.0
South Asia,SAS,-333007.0,-448610.0,459385.0,-1894788.0,756507.0,2359532.0,-3171344.0,-1759511.0,-4295456.0,1100745.0,1465299.0
Saudi Arabia,SAU,61018.0,296311.0,305401.0,594810.0,-666704.0,-826825.0,-240000.0,1097996.0,325097.0,649711.0,-1047909.0
Sudan,SDN,0.0,20002.0,159998.0,39998.0,-69998.0,495810.0,-1248489.0,56674.0,-436682.0,444542.0,288144.0
Senegal,SEN,36520.0,-20936.0,-200369.0,49675.0,24817.0,-16713.0,-150549.0,25066.0,-15527.0,4012.0,114001.0
Singapore,SGP,-793.0,6246.0,8392.0,123539.0,-18010.0,178043.0,23733.0,-228806.0,628566.0,-404310.0,-181886.0
Solomon Islands,SLB,-898.0,-1030.0,-2847.0,-1004.0,-5084.0,1822.0,1397.0,-3160.0,-5811.0,6258.0,0.0
Sierra Leone,SLE,0.0,0.0,0.0,0.0,62745.0,-512745.0,300000.0,650000.0,-440000.0,-81000.0,0.0
